"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.694581970E-1,7.259219646E0,-1.111867237E1,-1.436520964E-1,1.327937427E1
8.744935160E-1,6.081272125E0,-1.142513084E1,1.656787634E0,1.304838805E1
8.795288340E-1,4.797980309E0,-1.190397072E1,1.953668594E0,1.298237093E1
8.845336350E-1,3.246537447E0,-1.303403378E1,6.703764945E-2,1.343244341E1
8.895689530E-1,3.572149038E0,-1.263180828E1,5.363011956E-1,1.313812955E1
8.946042710E-1,4.194641590E0,-1.228704357E1,1.082179189E0,1.302833718E1
8.996395890E-1,5.257667065E0,-1.165497398E1,1.742978811E0,1.290424181E1
9.046443900E-1,6.062118530E0,-1.154962921E1,1.561019540E0,1.313697066E1
9.096797080E-1,6.742072105E0,-1.107078838E1,2.240972757E0,1.315446124E1
9.147150270E-1,7.594407558E0,-1.035252857E1,3.811569214E0,1.339320476E1
9.197198280E-1,7.575253963E0,-8.245630264E0,1.790862918E0,1.133940391E1
9.247551460E-1,7.613561630E0,-9.241618156E0,5.995080948E0,1.339084846E1
9.297904630E-1,8.274360657E0,-9.749189377E0,7.709329605E0,1.493135964E1
9.347952640E-1,8.781931877E0,-1.026633644E1,8.485051155E0,1.595356025E1
9.398305830E-1,8.580819130E0,-1.094629002E1,8.446743965E0,1.627265208E1
9.448659010E-1,7.843404770E0,-1.159751320E1,8.389283180E0,1.632180698E1
9.499012180E-1,7.651868820E0,-1.191354752E1,7.163451672E0,1.586816784E1
9.549060200E-1,8.667010307E0,-1.126232433E1,6.722918510E0,1.572115296E1
9.599413380E-1,8.935160637E0,-1.052491093E1,6.952761650E0,1.545806392E1
9.649766560E-1,7.738059998E0,-1.027591324E1,7.594407558E0,1.493810535E1
9.700119740E-1,6.234501362E0,-1.005564690E1,7.843404770E0,1.419521187E1
9.750167750E-1,4.874594688E0,-1.068771648E1,6.349422932E0,1.335305690E1
9.800520940E-1,4.319139957E0,-1.104205799E1,6.387730122E0,1.346792897E1
9.850874110E-1,4.817133904E0,-1.103248119E1,5.813121796E0,1.336835088E1
9.900922130E-1,5.248090267E0,-1.117613316E1,5.841852188E0,1.365926941E1
9.951275300E-1,6.090848923E0,-1.163582039E1,5.918466568E0,1.440551989E1
1.000162849E0,6.751648903E0,-1.189439392E1,6.349422932E0,1.507900995E1
1.005198167E0,7.268796444E0,-1.214339066E1,6.703764915E0,1.566007032E1
1.010202968E0,6.895300865E0,-1.209550667E1,6.062118530E0,1.518537904E1
1.015238285E0,6.110002518E0,-1.174116516E1,5.382165432E0,1.428827473E1
1.020273603E0,5.966350555E0,-1.077390766E1,4.922478676E0,1.326292658E1
1.025278404E0,6.368576527E0,-9.672574997E0,4.098873138E0,1.228487831E1
1.030313723E0,6.962338448E0,-8.121131897E0,3.055001259E0,1.112474596E1
1.035349041E0,7.584830761E0,-6.588842869E0,1.819593310E0,1.021045679E1
1.040384358E0,7.805097580E0,-5.707777023E0,2.489969730E-1,9.672655596E0
1.045389160E0,7.891288757E0,-4.989516258E0,-7.565677166E-1,9.366968851E0
1.050424478E0,7.709329605E0,-4.558559895E0,-1.139639974E0,9.028455601E0
1.055459796E0,7.862558365E0,-4.280832767E0,-1.714248419E0,9.115042560E0
1.060495114E0,8.130708694E0,-3.888183594E0,-2.212242365E0,9.280108395E0
1.065499915E0,7.498639584E0,-3.284844637E0,-1.695094824E0,8.360212100E0
1.070535234E0,7.517793179E0,-3.457227230E0,-5.937620401E-1,8.295913919E0
1.075570551E0,6.818686485E0,-4.213795185E0,-1.762132406E0,8.207049766E0
1.080605869E0,5.295974255E0,-5.037400246E0,-3.160346270E0,7.963073093E0
1.085610670E0,4.625597477E0,-5.391742229E0,-4.759673119E0,8.551112471E0
1.090645989E0,3.639186621E0,-5.315127850E0,-6.531382084E0,9.173506159E0
1.095681307E0,2.049436569E0,-5.679046631E0,-8.571242332E0,1.048417646E1
1.100716624E0,3.160346150E-1,-6.244078159E0,-9.844957352E0,1.166240006E1
1.105721425E0,-4.884171486E-1,-6.521805286E0,-1.026633644E1,1.217251656E1
1.110756744E0,-4.501099288E-1,-6.167463779E0,-1.016099167E1,1.189478710E1
1.115792062E0,1.685518026E0,-5.343858242E0,-8.714894295E0,1.036084816E1
1.120827380E0,4.596867085E0,-4.481945515E0,-7.134721279E0,9.598086805E0
1.125832181E0,6.636727333E0,-3.591302633E0,-6.100425720E0,9.703545654E0
1.130867499E0,5.525817394E0,-3.055001259E0,-5.659893036E0,8.479509405E0
1.135902817E0,5.899312973E0,-2.738966703E0,-5.056553841E0,8.238480983E0
1.140907618E0,6.186617374E0,-2.422932148E0,-4.041412354E0,7.776750513E0
1.145942936E0,6.828263283E0,-2.997540474E0,-3.620033026E0,8.289455197E0
1.150978255E0,5.544970989E0,-4.175487995E0,-2.547430515E0,7.393970888E0
1.156013572E0,6.416460514E0,-5.334281445E0,-1.197100878E0,8.429624818E0
1.161018374E0,8.781931877E0,-5.353435040E0,8.714894056E-1,1.032187425E1
1.166053691E0,8.188169479E0,-7.240066051E0,3.610456228E0,1.151086748E1
1.171089010E0,7.661445618E0,-7.757213593E0,6.483498096E0,1.268494617E1
1.176093810E0,7.268796444E0,-8.599972725E0,6.502651691E0,1.300305393E1
1.181129129E0,7.163451672E0,-9.107542992E0,6.368576527E0,1.322199479E1
1.186164447E0,7.134721279E0,-8.695740700E0,7.374141216E0,1.344983690E1
1.191199765E0,8.226476669E0,-7.824251175E0,6.272808552E0,1.297081154E1
1.196204565E0,8.944737434E0,-7.182605267E0,6.042964935E0,1.296593889E1
1.201239884E0,1.109951878E1,-5.477933407E0,5.612008572E0,1.359050079E1
1.206275202E0,1.461420727E1,-3.457227230E0,5.832275391E0,1.611033552E1
1.211310520E0,1.780328369E1,-1.541865945E0,4.635174274E0,1.846128656E1
1.216315321E0,1.845450592E1,-4.309563041E-1,3.476380825E0,1.878402874E1
1.221350639E0,1.863646698E1,7.661445439E-2,3.217807055E0,1.891237831E1
1.226385957E0,1.566765594E1,-1.455674648E0,4.893748283E0,1.647856801E1
1.231390758E0,1.039083576E1,-4.319139957E0,-7.852981687E-1,1.128012106E1
1.236426076E0,8.552088737E0,-5.918466568E0,-3.074155092E0,1.084513245E1
1.241461395E0,8.149862289E0,-6.550535679E0,9.576806426E-2,1.045652641E1
1.246496712E0,7.000645638E0,-7.000645638E0,9.768342972E-1,9.948481489E0
1.251501514E0,7.038952827E0,-6.560112476E0,1.810016513E0,9.790714600E0
1.256536831E0,6.588842869E0,-5.803544998E0,3.160346270E0,9.331761540E0
1.261572150E0,6.751648903E0,-5.181052685E0,5.046977043E0,9.894445265E0
1.266607468E0,6.004657745E0,-6.368576527E0,4.462791920E0,9.825028923E0
1.271612269E0,4.596867085E0,-7.077260017E0,5.295974255E0,9.963239416E0
1.276647586E0,2.614468336E0,-8.437167168E0,4.405331135E0,9.870571255E0
1.281682905E0,2.489969730E-1,-1.049618053E1,4.185064793E0,1.130250294E1
1.286687706E0,-6.129156351E-1,-1.161666679E1,4.376600742E0,1.242888760E1
1.291723024E0,-2.873041928E-1,-1.160709000E1,5.880159378E0,1.301473612E1
1.296758342E0,3.830722570E-1,-1.146343803E1,7.316680431E0,1.360481416E1
1.301793660E0,1.762132406E0,-1.085052204E1,6.722918510E0,1.288551794E1
1.306798462E0,2.978386879E0,-9.490615845E0,5.018246651E0,1.114115690E1
1.311833779E0,4.338293552E0,-7.651868820E0,3.955221176E0,9.644462761E0
1.316869097E0,6.378153324E0,-5.851428986E0,2.614468336E0,9.041875120E0
1.321873898E0,6.282385349E0,-5.305551052E0,1.110909581E0,8.297671827E0
1.326909216E0,6.148310184E0,-5.276820660E0,1.015141487E0,8.165602650E0
1.331944535E0,5.497087002E0,-5.774814606E0,-8.331822157E-1,8.016273563E0
1.336949336E0,4.932055473E0,-5.822698593E0,-3.639186621E-1,7.639465092E0
1.341984653E0,5.171475887E0,-5.784391403E0,-1.915361285E-1,7.761445281E0
1.347019971E0,4.692635536E0,-5.487510204E0,-1.474828243E0,7.369444678E0
1.352055290E0,3.763684988E0,-5.315127850E0,-2.604891539E0,7.014368730E0
1.357060091E0,3.035847664E0,-4.711789131E0,-3.811569214E0,6.778302717E0
1.362095409E0,1.359906554E0,-4.252102375E0,-5.726930618E0,7.261367278E0
1.367130726E0,-1.503558636E0,-4.319139957E0,-3.897760391E0,6.009009453E0
1.372135528E0,3.447650373E-1,-3.687070608E0,-2.480392933E0,4.457095658E0
1.377170846E0,1.752555609E0,-3.869029999E0,-2.997540474E0,5.198662634E0
1.382206164E0,1.714248419E0,-3.754108191E0,-2.346317768E0,4.747334306E0
1.387241482E0,2.336740971E0,-3.055001259E0,-6.033388376E-1,3.893251701E0
1.392246283E0,3.945644379E0,-2.844311714E0,5.458779931E-1,4.894507276E0
1.397281602E0,5.343858242E0,-3.131615877E0,2.202665508E-1,6.197770266E0
1.402316919E0,5.468356609E0,-3.907337189E0,8.714894056E-1,6.777145542E0
1.407352237E0,5.841852188E0,-4.884171486E0,9.576806426E-2,7.615217634E0
1.412357038E0,8.226476669E0,-5.372588634E0,3.351882398E-1,9.831173795E0
1.417392357E0,1.000776291E1,-6.646304131E0,2.489969730E-1,1.201626716E1
1.422427675E0,9.165003777E0,-7.479485989E0,-5.746084079E-2,1.182976359E1
1.427432476E0,9.404424667E0,-7.900865555E0,-5.746084079E-2,1.228292236E1
1.432467793E0,1.011310768E1,-7.565677166E0,5.650315881E-1,1.264253450E1
1.437503112E0,1.177947235E1,-6.789956093E0,1.024718285E0,1.363486414E1
1.442538430E0,1.327345467E1,-5.659893036E0,2.193088770E0,1.459550021E1
1.447543231E0,1.573469353E1,-4.721365929E0,3.275267839E0,1.675109716E1
1.452578549E0,1.859815788E1,-3.687070608E0,4.443638325E0,1.947387706E1
1.457613867E0,2.036986732E1,-2.719813108E0,3.524264812E0,2.085064317E1
1.462649185E0,2.118389702E1,-2.566584110E0,2.461239338E0,2.148028273E1
1.467653986E0,2.132754898E1,-2.863465309E0,1.685518026E0,2.158482685E1
1.472689304E0,2.076251793E1,-3.150769472E0,1.589749932E0,2.106031348E1
1.477724623E0,1.897165489E1,-4.194641590E0,1.915361404E0,1.952401897E1
1.482759940E0,1.647210693E1,-5.209783077E0,2.499546528E0,1.745622752E1
1.487764742E0,1.398213768E1,-6.167463779E0,2.375048161E0,1.546540130E1
1.492800059E0,1.185608673E1,-6.770802498E0,1.752555609E0,1.376524646E1
1.497835378E0,1.008437729E1,-6.971915245E0,2.011129379E0,1.242364314E1
1.502840178E0,9.308655739E0,-6.215347767E0,3.361459255E0,1.168678860E1
1.507875497E0,7.843404770E0,-6.320692539E0,1.800439715E0,1.023287524E1
1.512910814E0,6.378153324E0,-6.770802498E0,8.810662031E-1,9.343494204E0
1.517946133E0,5.094861031E0,-7.105990410E0,2.968810201E-1,8.748762596E0
1.522950933E0,4.817133904E0,-7.326257229E0,-2.873041928E-1,8.772762833E0
1.527986252E0,4.941632271E0,-7.182605267E0,-8.427590132E-1,8.758983427E0
1.533021570E0,4.893748283E0,-7.105990410E0,-1.570596337E0,8.769871426E0
1.538056888E0,4.711789131E0,-7.010222435E0,-2.240972757E0,8.738771899E0
1.543061689E0,3.840299606E0,-7.335834026E0,-2.930502892E0,8.783519177E0
1.548097007E0,2.576161146E0,-8.552088737E0,-3.112462282E0,9.458448577E0
1.553132325E0,9.193734527E-1,-1.037168217E1,-2.940079689E0,1.081947813E1
1.558137126E0,-4.309563041E-1,-1.187524033E1,-2.011129379E0,1.205204122E1
1.563172444E0,-9.097966552E-1,-1.264138508E1,-4.118026793E-1,1.268077001E1
1.568207763E0,-6.224924326E-1,-1.255519390E1,1.484405041E0,1.265795596E1
1.573243080E0,4.788403511E-1,-1.212423706E1,2.413355350E0,1.237136599E1
1.578247881E0,2.700659513E0,-1.131978607E1,4.098873138E0,1.233822838E1
1.583283199E0,4.558559895E0,-9.940725327E0,3.351882458E0,1.143825180E1
1.588318518E0,7.489062786E0,-7.939172745E0,3.878606796E0,1.158275079E1
1.593353836E0,1.074517727E1,-5.564124584E0,6.416460276E-1,1.211734404E1
1.598358637E0,1.143470764E1,-4.175487995E0,-4.644751072E0,1.302923449E1
1.603393954E0,1.053448772E1,-3.840299606E0,-6.876147270E0,1.315312639E1
1.608429273E0,9.155426979E0,-3.849876404E0,-6.311115742E0,1.176747948E1
1.613434074E0,6.962338448E0,-4.596867085E0,-4.003105164E0,9.253658444E0
1.618469392E0,4.165910721E0,-6.090848923E0,-1.369483352E0,7.505247323E0
1.623504710E0,2.030282974E0,-8.073247910E0,-1.120486379E0,8.399694666E0
1.628540028E0,2.011129379E0,-8.599972725E0,-5.037400246E0,1.016757461E1
1.633544829E0,2.863465309E0,-7.948749542E0,-6.081272125E0,1.040979940E1
1.638580147E0,3.198653460E0,-7.096413612E0,-5.056553841E0,9.282198385E0
