"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.285703630E0,-4.031835556E0,6.531382084E0,5.449203014E0,9.413206859E0
1.290738943E0,-4.194641590E0,6.473921299E0,4.903325081E0,9.140529082E0
1.295774256E0,-4.290409565E0,6.301538944E0,4.845864296E0,9.033239069E0
1.300779052E0,-4.319139957E0,6.062118530E0,5.276820660E0,9.124093781E0
1.305814365E0,-4.089296341E0,5.698200226E0,5.889736176E0,9.158647422E0
1.310849678E0,-3.983951569E0,5.200206280E0,6.856993675E0,9.483268303E0
1.315854474E0,-3.734954596E0,4.692635536E0,7.977479935E0,9.980526049E0
1.320889787E0,-3.256114244E0,4.127603531E0,9.097966194E0,1.050772952E1
1.325925100E0,-2.595314741E0,3.409343243E0,9.835380554E0,1.072818673E1
1.330960413E0,-1.877054095E0,2.528276920E0,1.048660374E1,1.094917231E1
1.335965209E0,-1.273715258E0,1.580173135E0,1.038125896E1,1.057779917E1
1.341000522E0,-6.320692301E-1,9.576807022E-1,1.022802925E1,1.029219346E1
1.346035835E0,6.895300746E-1,7.278373241E-1,9.653421402E0,9.705346138E0
1.351071148E0,2.106897593E0,6.224924326E-1,9.107542992E0,9.368770124E0
1.356075944E0,3.447650433E0,9.959878922E-1,8.676587105E0,9.389432846E0
1.361111257E0,4.510675907E0,1.532289028E0,8.686163902E0,9.906742661E0
1.366146570E0,5.305551052E0,1.972822189E0,8.983044624E0,1.061772057E1
1.371181883E0,6.081272125E0,2.164358377E0,9.414001465E0,1.141445318E1
1.376186679E0,6.751648903E0,2.020706177E0,9.979032516E0,1.221675515E1
1.381221992E0,7.632715225E0,1.695094824E0,1.131978607E1,1.375751594E1
1.386257305E0,8.724471092E0,1.513135433E0,1.304361057E1,1.576520699E1
1.391292618E0,9.950302124E0,1.283292055E0,1.474828243E1,1.783724153E1
1.396297413E0,1.136767006E1,1.015141487E0,1.683602715E1,2.033977003E1
1.401332727E0,1.296699619E1,5.650315881E-1,1.867477417E1,2.274223914E1
1.406368040E0,1.456632328E1,8.619125932E-2,1.985272026E1,2.462347873E1
1.411403353E0,1.595495987E1,-3.256114423E-1,2.043690491E1,2.592940125E1
1.416408148E0,1.652956772E1,-6.799532771E-1,1.967076111E1,2.570268056E1
1.421443462E0,1.622311020E1,-9.289502501E-1,1.844492912E1,2.458185639E1
1.426478775E0,1.553358078E1,-1.398213744E0,1.620395660E1,2.249033888E1
1.431514088E0,1.466209126E1,-1.388636947E0,1.378102493E1,2.016982600E1
1.436518883E0,1.385763931E1,-1.254561663E0,1.154005241E1,1.807708223E1
1.441554197E0,1.302445698E1,-1.024718285E0,1.020887566E1,1.658033984E1
1.446589510E0,1.222000504E1,-8.523358107E-1,9.519346237E0,1.551363762E1
1.451624823E0,1.172201157E1,-8.140285611E-1,9.097966194E0,1.486072631E1
1.456629619E0,1.125274754E1,-9.097966552E-1,8.944737434E0,1.440348516E1
1.461664932E0,1.090798283E1,-1.120486379E0,8.896853447E0,1.412067917E1
1.466700245E0,1.053448772E1,-1.513135433E0,9.059659004E0,1.397649569E1
1.471735558E0,1.003649330E1,-1.819593310E0,9.078812599E0,1.365529040E1
1.476740354E0,9.433155060E0,-2.193088770E0,8.906430244E0,1.315745235E1
1.481775667E0,8.599972725E0,-2.528276920E0,8.408436775E0,1.229038340E1
1.486810980E0,7.728483200E0,-2.719813108E0,7.862558365E0,1.135546828E1
1.491846293E0,6.991068840E0,-2.920926094E0,7.287950039E0,1.051290010E1
1.496851089E0,6.224924564E0,-3.227383852E0,6.828263283E0,9.787281125E0
1.501886402E0,5.363011837E0,-3.552995205E0,6.655880928E0,9.256696053E0
1.506921715E0,4.367023945E0,-4.003105164E0,5.889736176E0,8.353726193E0
1.511957028E0,3.485957623E0,-4.146757126E0,4.979939461E0,7.358484371E0
1.516961824E0,2.643198729E0,-4.223371983E0,3.916913986E0,6.337632491E0
1.521997137E0,1.963245392E0,-4.175487995E0,3.543418407E0,5.817632377E0
1.527032450E0,1.532289028E0,-4.175487995E0,3.457227230E0,5.633385286E0
1.532067763E0,1.244984865E0,-4.098873138E0,3.323152065E0,5.421631486E0
1.537072559E0,1.063025594E0,-4.003105164E0,3.447650433E0,5.388985792E0
1.542107872E0,1.072602391E0,-3.888183594E0,3.782838583E0,5.529766296E0
1.547143185E0,1.321599364E0,-3.706224203E0,4.175487995E0,5.737370715E0
1.552178498E0,1.637633920E0,-3.332728863E0,4.730942726E0,6.014211969E0
1.557183294E0,1.991975784E0,-3.055001259E0,4.788403511E0,6.019120235E0
1.562218607E0,2.394201756E0,-2.700659513E0,5.037400246E0,6.196867361E0
1.567253920E0,2.873042107E0,-2.212242365E0,5.114014626E0,6.269093461E0
1.572258716E0,3.055001259E0,-1.877054095E0,5.267243862E0,6.371830402E0
1.577294029E0,3.313575268E0,-1.532289028E0,5.315127850E0,6.448121802E0
1.582329342E0,3.361459255E0,-1.398213744E0,5.018246651E0,6.199774951E0
